"Bairros.SP";"Bairros.Fortaleza";"Bairros.RJ";"Causa.Afastamento.1";"Causa.Afastamento.2";"Causa.Afastamento.3";"Motivo.Desligamento";"CBO.Ocupação.2002";"CNAE.2.0.Classe";"CNAE.95.Classe";"Distritos.SP";"Vínculo.Ativo.31.12";"Faixa.Etária";"Faixa.Hora.Contrat";"Faixa.Remun.Dezem..SM.";"Faixa.Remun.Média..SM.";"Faixa.Tempo.Emprego";"Escolaridade.após.2005";"Qtd.Hora.Contr";"Idade";"Ind.CEI.Vinculado";"Ind.Simples";"Mês.Admissão";"Mês.Desligamento";"Mun.Trab";"Município";"Nacionalidade";"Natureza.Jurídica";"Ind.Portador.Defic";"Qtd.Dias.Afastamento";"Raça.Cor";"Regiões.Adm.DF";"Vl.Remun.Dezembro.Nom";"Vl.Remun.Dezembro..SM.";"Vl.Remun.Média.Nom";"Vl.Remun.Média..SM.";"CNAE.2.0.Subclasse";"Sexo.Trabalhador";"Tamanho.Estabelecimento";"Tempo.Emprego";"Tipo.Admissão";"Tipo.Estab";"Tipo.Estab.1";"Tipo.Defic";"Tipo.Vínculo";"IBGE.Subsetor";"Vl.Rem.Janeiro.SC";"Vl.Rem.Fevereiro.SC";"Vl.Rem.Março.SC";"Vl.Rem.Abril.SC";"Vl.Rem.Maio.SC";"Vl.Rem.Junho.SC";"Vl.Rem.Julho.SC";"Vl.Rem.Agosto.SC";"Vl.Rem.Setembro.SC";"Vl.Rem.Outubro.SC";"Vl.Rem.Novembro.SC";"Ano.Chegada.Brasil";"Ind.Trab.Intermitente";"Ind.Trab.Parcial"
9997;9997;9997;99;99;99;0;251110;69206;74128;9997;1;6;6;3;2;7;9;44;45;0;1;6;"{ñ";500110;500110;"10";2135;0;0;8;9997;1356;1,11;1356;1,11;6920601;1;4;91;0;1;"CNPJ";0;10;19;1356;1356;1356;1356;1356;1356;1356;1356;1356;1356;1356;1198;0;0
9997;9997;9997;99;99;99;0;251110;71120;74209;9997;1;4;6;6;5;6;9;44;28;0;0;8;"{ñ";292740;510340;"10";2062;0;0;2;9997;4266,67;3,52;4019,44;3,31;7112000;1;4;41;0;1;"CNPJ";0;10;19;2808,88;4000;4000;4000;4000;4000;4000;4475,55;4237,78;4000;4444,44;1198;0;0
9997;9997;9997;99;99;99;12;251110;71197;74209;9997;0;4;6;0;4;1;7;44;25;0;0;8;"11";520870;520870;"10";2062;0;0;9;9997;0;0;2744,17;2,26;7119702;1;4;2,9;2;1;"CNPJ";0;10;19;0;0;0;0;0;0;0;863,33;3700;3700;2713,33;1198;0;0
9997;9997;9997;99;99;99;21;251110;71111;74209;9997;0;5;6;0;4;1;7;44;34;0;1;6;"07";520890;520890;"10";2062;0;0;9;9997;0;0;2806,45;2,31;7111100;1;2;1;2;1;"CNPJ";0;60;19;0;0;0;0;0;300;2806,45;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;21;251110;71197;74209;9997;0;3;6;0;4;3;9;44;23;0;0;11;"06";520870;520870;"10";2062;0;0;8;9997;0;0;3617,78;2,98;7119702;1;4;7,6;0;1;"CNPJ";0;10;19;3700;3700;3700;3700;3700;3206,67;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;12;251110;71197;74209;9997;0;6;6;0;6;1;9;44;44;0;0;2;"04";354850;520870;"10";2062;0;0;2;9997;0;0;4944,44;4,07;7119702;1;4;2,9;2;1;"CNPJ";0;10;19;0;5000;5000;4833,33;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;21;251110;71197;74209;9997;0;6;6;0;0;3;9;44;41;0;0;6;"01";352530;520870;"10";2062;0;0;8;9997;0;0;425;0,35;7119702;1;4;7,1;0;1;"CNPJ";0;10;19;425;0;0;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;21;251110;71197;74209;9997;0;5;6;0;5;4;9;44;31;0;0;7;"07";520870;520870;"10";2062;0;0;8;9997;0;0;4367,14;3,6;7119702;2;4;12,6;0;1;"CNPJ";0;10;19;4250;4250;4250;4860;4860;4860;3240;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;11;251110;71197;74209;9997;0;4;6;0;4;3;9;44;29;0;0;7;"03";150680;520870;"10";2062;0;0;8;9997;0;0;3412,22;2,81;7119702;2;4;8,6;0;1;"CNPJ";0;10;19;3700;3700;2836,67;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;12;251110;71111;74209;9997;0;5;6;0;4;1;9;44;36;0;1;8;"10";520140;520890;"10";2062;0;0;9;9997;0;0;3204,3;2,64;7111100;2;2;1,8;2;1;"CNPJ";0;60;19;0;0;0;0;0;0;0;4225,81;5000;387,1;0;1198;0;0
9997;9997;9997;99;99;99;31;251110;82113;74993;9997;0;5;6;0;4;6;9;44;33;0;1;5;"11";522045;520870;"10";2062;0;0;8;9997;0;0;3340;2,75;8211300;2;1;54;0;1;"CNPJ";0;10;19;2500;2500;2500;3700;3700;3700;3700;3700;3700;3700;0;1198;0;0
9997;9997;9997;99;99;99;12;251110;71197;74209;9997;0;6;6;0;4;1;10;44;40;0;0;8;"11";211220;520870;"10";2062;0;0;9;9997;0;0;3604,5;2,97;7119702;2;4;2,9;2;1;"CNPJ";0;10;19;0;0;0;0;0;0;0;2592;4860;4860;2106;1198;0;0
9997;9997;9997;99;99;99;0;251110;71197;74209;9997;1;4;6;7;6;4;7;44;29;0;0;9;"{ñ";520870;520870;"10";2062;0;0;8;9997;4860;4;4856,28;4;7119702;1;4;16;0;1;"CNPJ";0;10;19;4250;4250;4250;4860;4860;4860;6645,33;4860;4860;4860;4860;1198;0;0
9997;9997;9997;40;99;99;0;251110;71197;74209;9997;1;4;6;6;5;4;9;44;29;0;0;6;"{ñ";520870;520870;"10";2062;0;90;8;9997;4234,44;3,49;3656;3,01;7119702;1;4;18,1;0;1;"CNPJ";0;10;19;4028,9;3700;3700;3700;3700;3700;4000;2836,67;0;0;2960;1198;0;0
9997;9997;9997;99;99;99;0;251110;71197;74209;9997;1;4;6;6;5;4;9;44;26;0;0;6;"{ñ";520870;520870;"10";2062;0;0;8;9997;3700;3,05;3727,41;3,07;7119702;1;4;18,1;0;1;"CNPJ";0;10;19;4028,9;3700;3700;3700;3700;3700;3700;3700;3700;3700;3700;1198;0;0
9997;9997;9997;99;99;99;0;251110;72207;73202;9997;1;8;6;8;7;7;9;44;67;0;0;5;"{ñ";520870;520870;"10";3069;0;0;2;9997;7803,65;6,43;7893,29;6,51;7220700;1;4;103,8;0;1;"CNPJ";0;10;19;8782,4;6986,11;7740,62;7740,62;7803,65;7803,65;7803,65;8844,14;7803,65;7803,65;7803,65;1198;0;0
9997;9997;9997;99;99;99;0;251110;85317;80314;9997;1;5;5;8;7;7;9;40;37;0;0;8;"{ñ";0;520870;"10";1104;0;0;99;9997;7994,33;6,59;7887,4;6,5;8531700;1;10;64,4;0;1;"CNPJ";0;30;23;7405,44;7405,44;7829,03;8054,34;7994,33;7994,33;7994,33;7994,33;7994,33;7994,33;7994,33;0;0;0
9997;9997;9997;99;99;99;0;251110;72207;73202;9997;1;5;6;6;5;7;9;44;35;0;0;9;"{ñ";520870;520870;"10";3069;0;0;8;9997;4577,95;3,77;4763,92;3,93;7220700;1;4;88;0;1;"CNPJ";0;10;19;4093,12;5229,6;4535,17;4535,17;6856,72;4535,17;4535,17;4535,17;4577,95;4577,95;4577,95;1198;0;0
