competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,competênciaexc,indicadordeexclusão,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,,
202301,2,29,292530,S,9430800,-1,251110,101,9,46,40,3,1,0,1,40,0,0,0,5672,3,4,0,1,202301,NA,NA,0,5,5672,3
202301,2,26,261160,M,7020400,1,251110,101,9,29,44,6,1,0,1,97,0,0,0,2849,4,0,1,202301,NA,NA,0,5,2849,,
202301,3,33,330455,M,7220700,-1,251110,111,9,43,44,1,1,0,1,40,0,1,0,3359,4,4,0,1,202301,NA,NA,0,1,15,27
202301,3,35,355030,M,7112000,-1,251110,101,9,32,44,3,3,0,1,31,0,0,0,2500,3,0,1,202301,NA,NA,0,5,2500,,
202301,1,13,130260,D,3520402,-1,251110,101,9,27,44,6,1,0,1,40,0,0,0,3442,53,7,0,1,202301,NA,NA,0,5,3442,53
202301,1,13,130260,D,3520402,1,251110,101,8,37,44,3,1,0,1,97,0,0,0,3847,55,7,0,1,202301,NA,NA,0,5,3847,55
202301,3,31,310620,M,7119702,1,251110,101,9,38,44,3,1,0,1,97,0,0,0,4730,5,0,1,202301,NA,NA,0,5,4730,,
202301,2,26,261160,M,7490199,1,251110,101,9,34,44,6,3,0,1,97,0,0,0,6500,6,0,1,202301,NA,NA,0,5,6500,,
202301,3,35,350610,G,4781400,-1,251110,101,7,31,44,6,1,0,1,43,0,0,0,1815,2,0,1,202301,NA,NA,0,5,1815,,
202301,3,35,354340,Q,8610101,-1,251110,101,7,34,40,1,3,0,1,40,0,0,0,5347,41,9,0,1,202301,NA,NA,0,5,5347,41
202301,3,35,350570,M,7112000,-1,251110,101,9,33,44,6,1,0,1,31,0,0,0,2800,4,0,1,202301,NA,NA,0,5,2800,,
202302,2,26,261160,M,7490199,1,251110,101,7,51,44,3,1,0,1,97,0,0,0,4070,6,0,1,202302,NA,NA,0,5,4070,,
202302,5,52,520870,M,7220700,1,251110,101,9,34,44,6,3,0,1,97,0,0,0,5000,4,0,1,202302,NA,NA,0,5,5000,,
202302,3,31,310620,M,7119702,-1,251110,101,9,27,44,6,3,0,1,31,0,0,0,3550,5,0,1,202302,NA,NA,0,5,3550,,
202302,2,26,261160,M,7490199,1,251110,101,7,28,44,6,1,0,1,97,0,0,0,1500,6,0,1,202302,NA,NA,0,5,1500,,
202302,2,26,261160,M,7490199,1,251110,101,7,29,44,6,1,0,1,97,0,0,0,1500,6,0,1,202302,NA,NA,0,5,1500,,
202302,5,52,520870,M,7220700,1,251110,101,9,34,44,6,3,0,1,97,0,0,0,5000,4,0,1,202302,NA,NA,0,5,5000,,
202302,2,29,293010,F,4120400,-1,251110,101,10,37,44,3,3,0,1,31,0,0,0,2472,42,2,0,1,202302,NA,NA,0,5,2472,42
202302,2,26,261160,M,7490199,-1,251110,101,10,41,44,3,3,0,1,40,0,0,0,2700,2,0,1,202302,NA,NA,0,5,2700,,
202302,3,31,310620,M,7220700,1,251110,101,10,30,40,2,1,0,1,97,0,0,0,4800,1,0,1,202302,NA,NA,0,5,4800,,
202302,3,32,320530,M,7490199,-1,251110,101,9,28,44,3,1,0,1,31,0,0,0,4050,9,0,1,202302,NA,NA,0,5,4050,,
202302,3,33,330455,M,7220700,1,251110,111,10,24,44,1,3,0,1,97,0,1,0,2897,4,4,0,1,202302,NA,NA,0,1,13,17
202302,3,35,350610,G,4781400,1,251110,101,7,39,44,1,3,0,1,97,0,0,0,1976,2,0,1,202302,NA,NA,0,5,1976,,
202302,3,32,320530,M,7490199,-1,251110,101,9,33,44,6,3,0,1,31,0,0,0,6035,5,9,0,1,202302,NA,NA,0,5,6035,5
202302,3,35,355030,G,4782201,1,251110,101,7,38,44,1,3,0,1,97,0,0,0,1815,3,0,1,202302,NA,NA,0,5,1815,,
