competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo;unidadesaláriocódigo;valorsaláriofixo
202401;1;11;110020;M;7490199;-1;251110;101;9;42;44;3;3;0;1;43;0;0;0;4000;4;0;1;202401;NA;NA;0;5;4000
202401;1;15;150140;G;4772500;1;251110;101;7;23;40;3;1;0;1;97;0;0;0;1412;1;0;1;202401;NA;NA;0;5;1412
202401;4;41;411520;N;8211300;1;251110;101;7;31;44;2;1;0;1;97;0;0;0;4000;2;0;1;202401;NA;NA;0;5;4000
202401;3;35;355030;F;4399101;1;251110;101;10;42;44;3;3;0;1;97;0;0;0;4545;4;0;1;202401;NA;NA;0;5;4545
202401;3;35;355030;M;7220700;1;251110;111;9;29;44;3;3;0;1;97;0;1;0;7700;5;0;1;202401;NA;NA;0;1;35
202401;3;35;355030;M;7112000;1;251110;101;9;27;44;1;3;0;1;97;0;0;0;3500;10;0;1;202401;NA;NA;0;5;3500
202401;5;52;520870;M;7220700;-1;251110;101;9;36;44;1;3;0;1;43;0;0;0;3135;6;0;1;202401;NA;NA;0;5;3135
202401;2;26;261160;M;7112000;-1;251110;101;9;39;44;1;1;0;1;31;0;0;0;4500;6;0;1;202401;NA;NA;0;5;4500
202401;1;15;150140;G;4772500;1;251110;101;7;20;40;3;3;0;1;97;0;0;0;1412;1;0;1;202401;NA;NA;0;5;1412
202401;3;35;355030;F;4399101;-1;251110;101;9;26;44;6;1;0;1;31;0;0;0;4545;4;0;1;202401;NA;NA;0;5;4545
202401;3;35;355030;M;7112000;1;251110;101;9;24;44;1;3;0;1;97;0;0;0;3500;10;0;1;202401;NA;NA;0;5;3500
202401;3;35;355030;M;7112000;1;251110;101;9;44;44;3;1;0;1;97;0;0;0;4200;10;0;1;202401;NA;NA;0;5;4200
202401;2;26;261160;M;7490199;1;251110;101;7;24;44;4;1;0;1;97;0;0;0;1500;6;0;1;202401;NA;NA;0;5;1500
202401;2;26;261160;M;7490199;1;251110;101;7;34;44;3;1;0;1;97;0;0;0;1589;6;0;1;202401;NA;NA;0;5;1589
202401;5;52;520870;M;7220700;-1;251110;101;9;29;44;3;1;0;1;43;0;0;0;4180;6;0;1;202401;NA;NA;0;5;4180
202401;3;33;330455;M;7490103;-1;251110;111;10;35;44;3;1;0;1;40;0;1;9;3949;7;0;1;202401;NA;NA;0;1;17,95
202401;1;13;130260;S;9499500;-1;251110;101;10;40;44;1;1;0;1;40;0;0;0;6823,95;5;0;1;202401;NA;NA;0;5;6823,95
202401;5;52;520870;M;7220700;-1;251110;101;9;28;44;3;3;0;1;43;0;0;0;4180;6;0;1;202401;NA;NA;0;5;4180
202401;4;41;411520;N;8211300;-1;251110;101;7;31;44;2;1;0;1;43;0;0;0;4000;2;0;1;202401;NA;NA;0;5;4000
