Bairros SP - Código;Bairros Fortaleza - Código;Bairros RJ - Código;Causa Afastamento 1 - Código;Causa Afastamento 2 - Código;Causa Afastamento 3 - Código;Motivo Desligamento - Código;CBO 2002 Ocupação - Código;CNAE 2.0 Classe - Código;CNAE 95 Classe - Código;Distritos SP - Código;Ind Vínculo Ativo 31/12 - Código;Faixa Etária - Código;Faixa Rem Média (SM) - Código;Faixa Hora Contrat - Código;Faixa Rem Dez (SM) - Código;Faixa Tempo Emprego - Código;Escolaridade Após 2005 - Código;Qtd Hora Contr;Idade;Ind CEI Vinculado - Código;Ind Estabelecimento Participante SIMPLES - Código;Mês Admissão - Código;Mês Desligamento - Código;Município Trab - Código;Município - Código;Nacionalidade - Código;Natureza Jurídica - Código;Ind Portador Defic - Código;Qtd Dias Afastamento;Raça Cor - Código;Região Adm DF - Código;Vl Rem Dezembro Nom;Vl Rem Dezembro (SM);Vl Rem Média Nom;Vl Rem Média (SM);CNAE 2.0 Subclasse - Código;Sexo - Código;Tamanho Estabelecimento - Código;Tempo Emprego;Tipo Admissão Trabalhador - Código;Tipo Estabelecimento - Código;Tipo Estabelecimento - Nome;Tipo Deficiência - Código;Tipo Vínculo - Código;IBGE Subsetor - Código;Vl Rem Janeiro SC;Vl Rem Fevereiro SC;Vl Rem Março SC;Vl Rem Abril SC;Vl Rem Maio SC;Vl Rem Junho SC;Vl Rem Julho SC;Vl Rem Agosto SC;Vl Rem Setembro SC;Vl Rem Outubro SC;Vl Rem Novembro SC;Ano Chegada Brasil;Ind Trabalho Intermitente - Código;Ind Trabalho Parcial - Código;Ind Vínculo Abandonado - Código
999997;999997;999997;999;999;999;0;251110;8211;7499;999997;1;6;99;6;99;7;9;44;46;0;0;0;0;999999;530010;10;2062;0;0;9;999997;;.00;.00;.00;8211300;2;3;95.0;0;1;CNPJ;0;10;19;0;0;0;0;0;0;0;0;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;11;251110;7220;7320;999997;0;3;5;6;99;3;9;44;24;0;0;0;7;999999;520870;10;2062;0;0;4;999997;;.00;3325.38;2.35;7220700;2;5;7.5;0;1;CNPJ;0;10;19;2926.10;3135.00;3135.00;3344.15;3135.00;3338.00;4264.39;0;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;11;251110;7112;7420;999997;0;5;7;6;99;4;9;44;34;0;0;0;12;999999;530010;10;2062;0;0;2;999997;;.00;5745.80;4.06;7112000;2;7;16.7;0;1;CNPJ;0;10;19;5711.30;6109.12;5757.21;5485.77;6162.52;7463.65;5393.54;6558.40;6608.23;6411.22;1542.82;1198;0;0;0
999997;999997;999997;40;40;40;0;251110;7112;7420;999997;1;5;9;6;9;6;9;44;32;0;0;0;0;999999;530010;10;2062;0;7;8;999997;13485.77;9.55;13404.27;9.49;7112000;2;7;41.0;0;1;CNPJ;0;10;19;13020.25;13020.25;13020.25;13020.25;13020.25;13020.25;15300.90;13485.77;13485.77;13485.77;13485.77;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7220;7320;999997;1;3;5;6;5;4;9;44;24;0;0;0;0;999999;520870;10;2062;0;0;8;999997;3783.07;2.67;3290.51;2.33;7220700;1;5;16.3;0;1;CNPJ;0;10;19;3135.00;3135.00;3135.00;3135.00;3135.00;3338.00;3338.00;3338.00;3338.00;3338.00;3338.00;1198;0;0;0
999997;999997;999997;999;999;999;12;251110;7220;7320;999997;0;5;2;6;99;1;9;44;37;0;0;0;1;999999;520870;10;2062;0;0;2;999997;;.00;1358.50;.96;7220700;2;5;1.4;0;1;CNPJ;0;60;19;1358.50;0;0;0;0;0;0;0;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;11;251110;7220;7320;999997;0;4;4;6;99;2;9;44;25;0;0;0;5;999999;520870;10;2062;0;0;2;999997;;.00;2809.09;1.99;7220700;2;5;5.2;0;1;CNPJ;0;10;19;3135.00;3135.00;3135.00;1831.37;0;0;0;0;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7220;7320;999997;1;4;6;6;6;4;9;44;26;0;0;0;0;999999;520870;10;2062;0;0;8;999997;5301.12;3.75;4677.30;3.31;7220700;1;5;22.1;0;1;CNPJ;0;10;19;5434.00;4226.44;4180.00;4180.00;4180.00;4771.00;4771.00;4771.00;4771.00;4771.00;4771.00;1198;0;0;0
999997;999997;999997;999;999;999;12;251110;7220;7320;999997;0;4;5;6;99;1;9;44;25;0;0;3;6;999999;520870;10;2062;0;0;8;999997;;.00;3397.99;2.40;7220700;2;5;2.9;2;1;CNPJ;0;60;19;0;0;2508.00;4180.00;4180.00;2723.97;0;0;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;12;251110;7220;7320;999997;0;3;5;6;99;1;9;44;23;0;0;0;2;999999;520870;10;2062;0;0;8;999997;;.00;3135.00;2.22;7220700;2;5;1.8;0;1;CNPJ;0;60;19;3135.00;209.00;0;0;0;0;0;0;0;0;0;1198;0;0;0
