"";"competênciamov";"região";"uf";"município";"seção";"subclasse";"saldomovimentação";"cbo2002ocupação";"categoria";"graudeinstrução";"idade";"horascontratuais";"raçacor";"sexo";"tipoempregador";"tipoestabelecimento";"tipomovimentação";"tipodedeficiência";"indtrabintermitente";"indtrabparcial";"salário";"tamestabjan";"indicadoraprendiz";"origemdainformação";"competênciadec";"competênciaexc";"indicadordeexclusão";"indicadordeforadoprazo";"unidadesaláriocódigo";"valorsaláriofixo"
"1";202501;5;53;530010;"N";8211300;1;251110;101;7;23;44;2;1;0;1;97;0;0;9;1653,75;3;0;1;202501;NA;NA;0;5;1653,75
"2";202501;3;35;350570;"M";7112000;-1;251110;101;7;31;44;3;1;0;1;31;0;0;0;3200;5;0;1;202501;NA;NA;0;5;3200
"3";202501;2;23;230440;"M";7220700;-1;251110;101;9;28;40;1;3;0;1;90;0;0;0;3500;3;0;1;202501;NA;NA;0;5;3500
"4";202501;2;26;261160;"M";7490199;1;251110;101;9;28;44;1;3;0;1;97;0;0;0;4300;2;0;1;202501;NA;NA;0;5;4300
"5";202501;2;26;261160;"M";7490199;-1;251110;101;10;37;44;6;1;0;1;31;0;0;0;8490,3;6;0;1;202501;NA;NA;0;5;8490,3
"6";202501;3;35;355030;"M";7112000;-1;251110;101;9;31;44;3;3;0;1;31;0;0;0;3282,33;10;0;1;202501;NA;NA;0;5;3282,33
"7";202501;3;35;355030;"M";7112000;-1;251110;101;9;39;44;5;1;0;1;31;0;0;0;3278,07;10;0;1;202501;NA;NA;0;5;3278,07
"8";202501;5;53;530010;"N";8211300;1;251110;101;6;18;44;2;1;0;1;97;0;0;9;1653,75;3;0;1;202501;NA;NA;0;5;1653,75
"9";202501;3;32;320310;"G";4774100;-1;251110;101;7;40;42,5;1;3;0;1;43;0;0;0;1537;2;0;1;202501;NA;NA;0;5;1537
"10";202501;2;28;280030;"M";7220700;1;251110;101;9;35;44;3;3;0;1;97;0;0;0;3200;3;0;1;202501;NA;NA;0;5;3200
"11";202501;3;32;320120;"G";4781400;-1;251110;101;7;42;40;1;3;0;1;43;0;0;0;1547,6;3;0;1;202501;NA;NA;0;5;1547,6
"12";202501;2;26;261160;"M";7490199;-1;251110;101;10;34;44;3;3;0;1;40;0;0;0;4300;2;0;1;202501;NA;NA;0;5;4300
"13";202501;3;35;350130;"M";7490199;1;251110;101;9;29;44;1;1;0;1;97;0;0;0;3000;2;0;1;202501;NA;NA;0;5;3000
"14";202501;3;35;355030;"M";7112000;-1;251110;101;10;36;44;1;3;0;1;40;0;0;0;3508,75;10;0;1;202501;NA;NA;0;5;3508,75
"15";202501;3;35;355030;"M";7112000;-1;251110;101;9;45;44;3;1;0;1;31;0;0;0;4242;10;0;1;202501;NA;NA;0;5;4242
"16";202501;3;32;320120;"G";4759801;-1;251110;101;8;20;40;1;3;0;1;43;0;0;0;1547,6;2;0;1;202501;NA;NA;0;5;1547,6
"17";202501;2;26;261160;"M";7490199;1;251110;101;80;31;44;3;1;0;1;97;0;0;0;5000;6;0;1;202501;NA;NA;0;5;5000
"18";202501;3;35;355030;"H";4930201;-1;251110;101;7;31;44;1;1;0;1;40;0;0;0;2447,81;5;0;1;202501;NA;NA;0;5;2447,81
"19";202502;3;31;310620;"M";7112000;1;251110;101;9;25;44;3;3;0;1;97;0;0;0;1518;1;0;1;202502;NA;NA;0;5;1518
"20";202502;5;52;520140;"H";4930202;-1;251110;101;9;30;44;3;3;0;1;40;0;0;0;5408;7;0;1;202502;NA;NA;0;5;5408
"21";202502;3;35;355030;"C";2622100;-1;251110;101;7;44;44;6;3;0;1;31;0;0;0;2127,79;10;0;1;202502;NA;NA;0;5;2127,79
"22";202502;3;35;355030;"C";2622100;-1;251110;101;7;44;44;6;3;0;1;31;0;0;0;2127,79;10;0;1;202502;NA;NA;0;5;2127,79
"23";202502;3;35;355030;"M";7112000;-1;251110;101;9;50;44;1;1;0;1;31;0;0;0;5366,49;10;0;1;202502;NA;NA;0;5;5366,49
"24";202502;3;35;355030;"M";7112000;-1;251110;101;9;23;44;2;3;0;1;31;0;0;0;3500;10;0;1;202502;NA;NA;0;5;3500
"25";202502;2;26;261160;"M";7020400;-1;251110;101;9;36;44;3;1;0;1;31;0;0;0;3322,27;5;0;1;202502;NA;NA;0;5;3322,27
"26";202502;3;35;350570;"M";7112000;1;251110;101;9;23;44;3;1;0;1;97;0;0;0;3140;5;0;1;202502;NA;NA;0;5;3140
"27";202502;3;35;355030;"F";4399101;-1;251110;101;7;25;44;1;1;0;1;31;0;0;0;1833,24;4;0;1;202502;NA;NA;0;5;1833,24
"28";202502;3;32;320120;"G";4781400;-1;251110;101;7;19;48;1;3;0;1;43;0;0;0;1547,6;3;0;1;202502;NA;NA;0;5;1547,6
"29";202502;1;15;150140;"J";6319400;-1;251110;101;7;46;44;3;3;0;1;31;0;0;0;3030,76;6;0;1;202502;NA;NA;0;5;3030,76
