Bairros SP - Código,Bairros Fortaleza - Código,Bairros RJ - Código,Causa Afastamento 1 - Código,Causa Afastamento 2 - Código,Causa Afastamento 3 - Código,Motivo Desligamento - Código,CBO 2002 Ocupação - Código,CNAE 2.0 Classe - Código,CNAE 95 Classe - Código,Distritos SP - Código,Ind Vínculo Ativo 31/12 - Código,Faixa Etária - Código,Faixa Rem Média (SM) - Código,Faixa Hora Contrat - Código,Faixa Rem Dez (SM) - Código,Faixa Tempo Emprego - Código,Escolaridade Após 2005 - Código,Qtd Hora Contr,Idade,Ind CEI Vinculado - Código,Ind Estabelecimento Participante SIMPLES - Código,Mês Admissão - Código,Mês Desligamento - Código,Município Trab - Código,Município - Código,Nacionalidade - Código,Natureza Jurídica - Código,Ind Portador Defic - Código,Qtd Dias Afastamento,Raça Cor - Código,Região Adm DF - Código,Vl Rem Dezembro Nom,Vl Rem Dezembro (SM),Vl Rem Média Nom,Vl Rem Média (SM),CNAE 2.0 Subclasse - Codigo,Sexo - Código,Tamanho Estabelecimento - Código,Tempo Emprego,Tipo Admissão Trabalhador - Código,Tipo Estabelecimento - Código,Tipo Estabelecimento - Nome,Tipo Deficiência - Código,Tipo Vínculo - Código,IBGE Subsetor - Código,Vl Rem Janeiro SC,Vl Rem Fevereiro SC,Vl Rem Março SC,Vl Rem Abril SC,Vl Rem Maio SC,Vl Rem Junho SC,Vl Rem Julho SC,Vl Rem Agosto SC,Vl Rem Setembro SC,Vl Rem Outubro SC,Vl Rem Novembro SC,Ano Chegada Brasil,Ind Trabalho Intermitente - Código,Ind Trabalho Parcial - Código,Ind Vínculo Abandonado - Código,Categoria Trabalhador - Código
999997,999997,999997,999,999,999,0,251110,82113,74993,999997,1,6,99,6,99,7,9,44,47,0,0,0,0,999999,530010,10,2062,0,0,9,999997,,.00,.00,.00,8211300,2,3,107.0,0,1,CNPJ,0,10,19,0,0,0,0,0,0,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,11,251110,82113,74993,999997,0,3,3,99,99,1,9,99,19,0,0,1,4,999999,530010,10,2062,0,0,4,999997,,.00,1541.47,1.01,8211300,1,3,2.6,2,1,CNPJ,0,60,19,932.99,2010.77,1680.64,385.88,0,0,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,40,40,40,0,251110,71120,74209,999997,1,5,9,6,10,6,9,44,33,0,0,0,0,999999,530010,10,2062,0,7,8,999997,15861.87,10.44,14930.73,9.83,7112000,2,7,53.0,0,1,CNPJ,0,10,19,17231.70,14289.97,14289.97,14289.97,14289.97,14289.97,17147.95,14607.52,14289.97,14289.97,14289.97,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,72207,73202,999997,1,5,6,6,6,8,9,44,38,0,0,0,0,999999,520870,10,3069,0,0,8,999997,5577.25,3.67,6034.03,3.97,7220700,1,4,124.0,0,1,CNPJ,0,10,19,3279.61,5213.73,6526.35,7294.26,7851.56,7046.85,5526.55,5856.39,5577.25,6068.57,6589.94,1198,0,0,0,101
999997,999997,999997,999,999,999,11,251110,72207,73202,999997,0,4,7,6,99,5,9,44,27,0,0,0,3,999999,520870,10,2062,0,0,8,999997,,.00,7273.54,4.79,7220700,1,4,24.7,0,1,CNPJ,0,10,19,6149.29,4771.00,10900.32,0,0,0,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,11,251110,82113,74993,999997,0,4,5,6,99,3,9,44,26,0,0,0,5,999999,520870,10,2062,0,0,8,999997,,.00,4409.65,2.90,8211300,2,2,7.1,0,1,CNPJ,0,90,19,4802.42,5078.80,5127.04,5690.00,1350.00,0,0,0,0,0,0,1198,0,0,0,105
999997,999997,999997,999,999,999,11,251110,42219,45314,999997,0,4,7,6,99,3,9,44,29,0,0,0,5,999999,530010,10,2054,0,0,2,999997,,.00,6510.00,4.28,4221902,1,8,7.0,0,1,CNPJ,0,10,15,6510.00,6510.00,6510.00,217.00,0,0,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,84116,75116,999997,1,5,3,5,4,3,9,40,37,0,0,4,0,999999,521180,10,1333,0,0,2,999997,2554.01,1.68,2265.06,1.49,8411600,1,8,8.3,2,1,CNPJ,0,30,24,0,0,0,727.50,2425.00,2425.00,2425.00,2425.00,2425.00,2425.00,2554.01,1198,0,0,0,301
999997,999997,999997,999,999,999,0,251110,72207,73202,999997,1,4,5,6,5,3,9,44,29,0,0,6,0,999999,520870,10,2062,0,0,8,999997,3555.00,2.34,3269.68,2.15,7220700,1,4,6.4,2,1,CNPJ,0,10,19,0,0,0,0,0,1557.73,3555.00,3555.00,3555.00,3555.00,3555.00,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,72207,73202,999997,1,4,5,6,6,5,9,44,25,0,0,0,0,999999,520870,10,2062,0,0,8,999997,5082.00,3.34,4029.68,2.65,7220700,1,4,28.3,0,1,CNPJ,0,10,19,4228.14,3338.00,3338.00,3338.00,3338.00,3338.00,3555.00,3555.00,5082.00,5082.00,5082.00,1198,0,0,0,101
